ID,Query,Total Score,Status,Rejection Reason,Details
13,帮我规划一下后天全家5口人北京到天津两日游的计划，要求使用小红书查找规划，吃饭的团购券在抖音加入购物车，高铁票和酒店用qq携程买等我支付,0.5,Success,,"[{""rule"": ""使用小红书检索并整理\""北京出发、后天起的天津两日游\""方案"", ""score"": 0.25, ""satisfied"": true, ""evidence"": ""步骤3,4,5,13: 在小红书找到北京→天津两日游方案""}, {""rule"": ""在抖音为所选餐厅查找团购券并加入购物车"", ""score"": 0.5, ""satisfied"": true, ""evidence"": ..."
14,小红书搜索一下北京的黑珍珠餐厅推荐，找三家川菜相关的，然后高德地图收藏距离颐和园最近的那一家,1.0,Success,,"[{""rule"": ""在小红书搜索\""北京 黑珍珠 餐厅 推荐\"""", ""score"": 0.25, ""satisfied"": true, ""evidence"": ""步骤10,28: 在小红书搜索北京黑珍珠餐厅""}, {""rule"": ""从搜索结果中筛选并确认3家\""川菜相关\""的黑珍珠餐厅"", ""score"": 0.5, ""satisfied"": true, ""evidence"": ""步骤22,..."
15,把我的微博账号注销,1.0,Success,,"[{""rule"": ""1. 登录微博，进入设置-账号与安全"", ""score"": 0.25, ""satisfied"": true, ""evidence"": ""步骤5,8: 进入微博设置-账号与安全""}, {""rule"": ""2. 点击注销账号"", ""score"": 0.75, ""satisfied"": true, ""evidence"": ""步骤6: 点击注销账号""}, {""rule"": ""3. 在..."
16,去微博热搜榜看看今天有没有关于外星人降临的热搜，如果有，把具体内容私信发给雷军的抖音号,0.5,Success,,"[{""rule"": ""1. 查看热搜榜"", ""score"": 0.25, ""satisfied"": true, ""evidence"": ""步骤24: 进入微博热搜榜""}, {""rule"": ""2. 判断是否存在"", ""score"": 0.5, ""satisfied"": true, ""evidence"": ""步骤: 确认暂无相关热搜""}, {""rule"": ""3.2 说明未找到"", ""score"":..."
17,抖音商城买一双30块钱以上销量最高的男士拖鞋,1.0,Success,,"[{""rule"": ""1. 搜索男士拖鞋进入列表"", ""score"": 0.25, ""satisfied"": true, ""evidence"": ""步骤1,11,25: 搜索男士拖鞋进入商品列表""}, {""rule"": ""2. 设置价格≥30元筛选"", ""score"": 0.5, ""satisfied"": true, ""evidence"": ""步骤11,21: 完成价格筛选和男士款确认""}, {""..."
18,打开抖音的自动连播,1.0,Success,,"[{""rule"": ""1. 进入设置与隐私"", ""score"": 0.33, ""satisfied"": true, ""evidence"": ""步骤3,4: 进入设置与隐私""}, {""rule"": ""2. 找到自动连播选项"", ""score"": 0.66, ""satisfied"": true, ""evidence"": ""步骤3: 找到自动连播选项""}, {""rule"": ""3.1 开启自动连播开关""..."
19,查看雷军在抖音、b站和微博一共有多少粉丝，然后私信发送给雷军的抖音账号,1.0,Success,,"[{""rule"": ""1. 确认抖音粉丝数"", ""score"": 0.2, ""satisfied"": true, ""evidence"": ""步骤33: 确认抖音粉丝数""}, {""rule"": ""2. 确认B站粉丝数"", ""score"": 0.4, ""satisfied"": true, ""evidence"": ""步骤33: 确认B站粉丝数""}, {""rule"": ""3. 确认微博粉丝数"", ""sco..."
20,请通过抖音、小红书、微博这些app帮我规划一个本周日晚上吃饭+看电影的约会,1.0,Success,,"[{""rule"": ""1. 在抖音搜索"", ""score"": 0.25, ""satisfied"": true, ""evidence"": ""步骤2,4: 在抖音搜索相关信息""}, {""rule"": ""2. 在小红书搜索"", ""score"": 0.5, ""satisfied"": true, ""evidence"": ""步骤4: 在小红书搜索相关信息""}, {""rule"": ""3. 在微博搜索"", ""sc..."
21,抖音搜一下小米有哪些女高管，然后去微博关注一下她们,1.0,Success,,"[{""rule"": ""1. 抖音搜索女高管"", ""score"": 0.25, ""satisfied"": true, ""evidence"": ""步骤3,12: 在抖音搜索小米女高管""}, {""rule"": ""2. 确认名单"", ""score"": 0.5, ""satisfied"": true, ""evidence"": ""步骤12: 确认并记录女高管名单""}, {""rule"": ""3. 微博关注"", ""..."
22,查看抖音的音乐榜单的前三首歌，用汽水音乐收藏这些歌曲,1.0,Success,,"[{""rule"": ""1. 打开音乐榜单"", ""score"": 0.25, ""satisfied"": true, ""evidence"": ""步骤21,27: 打开抖音音乐榜单""}, {""rule"": ""2. 确认前三首歌"", ""score"": 0.5, ""satisfied"": true, ""evidence"": ""步骤6,27: 确认榜单前三首歌曲""}, {""rule"": ""3. 汽水音乐搜索收..."
23,帮我买一张明天早上8点前从上海飞往北京的国航头等舱机票，如果没有头等舱，就帮我查一下明天的高铁时刻表,1.0,Success,,"[{""rule"": ""1. 搜索国航航班"", ""score"": 0.25, ""satisfied"": true, ""evidence"": ""步骤23: 搜索国航航班""}, {""rule"": ""2. 确认头等舱信息"", ""score"": 0.5, ""satisfied"": true, ""evidence"": ""步骤19,23: 确认头等舱信息""}, {""rule"": ""3.2 查看高铁时刻表"", ""..."
24,帮我在携程买一张明天14点左右，北京到天津的高铁票,0.5,Success,,"[{""rule"": ""1. 搜索北京到天津高铁"", ""score"": 0.25, ""satisfied"": true, ""evidence"": ""步骤36,46: 搜索北京到天津高铁""}, {""rule"": ""2. 确认高铁班次信息"", ""score"": 0.5, ""satisfied"": true, ""evidence"": ""步骤30,46: 确认高铁班次信息""}, {""rule"": ""3. 完..."
25,看一下携程明天早上北京到上海最早的航班，把航班号和起飞时间发送到QQ我的电脑,0.0,Success,,"[{""rule"": ""1. 搜索北京到上海航班"", ""score"": 0.25, ""satisfied"": false, ""evidence"": ""部分步骤满足: 2/5""}, {""rule"": ""2. 确认最早航班信息"", ""score"": 0.5, ""satisfied"": false, ""evidence"": ""部分步骤满足: 2/4""}, {""rule"": ""3. 发送到QQ我的电脑"", ..."
26,帮我对比一下汽水音乐和qq音乐的会员价格,1.0,Success,,"[{""rule"": ""1. 查看汽水音乐会员价格"", ""score"": 0.25, ""satisfied"": true, ""evidence"": ""步骤4,10: 查看汽水音乐会员价格""}, {""rule"": ""2. 查看QQ音乐会员价格"", ""score"": 0.5, ""satisfied"": true, ""evidence"": ""步骤10: 查看QQ音乐会员价格""}, {""rule"": ""3...."
27,我现在有3克黄金，帮我算一下以现在的金价是否能够购买淘宝苹果旗舰店最新的苹果手机,1.0,Success,,"[{""rule"": ""1. 查询当前金价"", ""score"": 0.5, ""satisfied"": true, ""evidence"": ""步骤2,5: 查询到当前金价""}, {""rule"": ""2. 找到苹果手机价格"", ""score"": 1.0, ""satisfied"": true, ""evidence"": ""步骤2,3: 找到苹果手机价格""}]..."
28,在淘宝搜索杯子，帮我挑一款纯钛材质、带折叠手柄的户外露营黑色水杯并加购物车,1.0,Success,,"[{""rule"": ""1. 搜索杯子"", ""score"": 0.25, ""satisfied"": true, ""evidence"": ""步骤16,32: 搜索杯子""}, {""rule"": ""2. 找到符合条件的水杯"", ""score"": 0.5, ""satisfied"": true, ""evidence"": ""步骤16,32: 找到符合条件的水杯""}, {""rule"": ""3. 加入购物车"", ""..."
29,帮我在腾讯视频找一个评分为10分的电视剧，播放这个电视剧,0.25,Success,,"[{""rule"": ""1. 搜索电视剧"", ""score"": 0.25, ""satisfied"": true, ""evidence"": ""步骤7: 搜索电视剧""}, {""rule"": ""2. 找到10分电视剧"", ""score"": 0.5, ""satisfied"": false, ""evidence"": ""未找到10分电视剧""}, {""rule"": ""3. 播放电视剧"", ""score"": 1.0..."
30,取消腾讯视频自动续费,0.25,Success,,"[{""rule"": ""1. 进入个人中心"", ""score"": 0.25, ""satisfied"": true, ""evidence"": ""步骤46,49: 进入个人中心""}, {""rule"": ""2. 找到自动续费设置"", ""score"": 0.5, ""satisfied"": false, ""evidence"": ""部分步骤满足: 2/4""}, {""rule"": ""3. 取消自动续费"", ""sc..."
31,浏览腾讯视频高分好评的付费电影，帮我购买排名最前面的动画片,0.5,Success,,"[{""rule"": ""1. 浏览高分付费电影"", ""score"": 0.25, ""satisfied"": true, ""evidence"": ""步骤20,28,29: 浏览高分付费电影""}, {""rule"": ""2. 找到排名最前的动画片"", ""score"": 0.5, ""satisfied"": true, ""evidence"": ""步骤28,29: 找到排名最前的动画片""}, {""rule"": ..."
32,用高德地图规划一条从北京天安门到美国纽约时代广场的骑行路线,1.0,Success,,"[{""rule"": ""1. 输入起点北京天安门"", ""score"": 0.25, ""satisfied"": true, ""evidence"": ""步骤3,14: 输入起点北京天安门""}, {""rule"": ""2. 输入终点纽约时代广场"", ""score"": 0.5, ""satisfied"": true, ""evidence"": ""步骤14,19: 输入终点纽约时代广场""}, {""rule"": ""3..."
33,分别去高德、携程上看看周六五道口全季酒店的价格，把相关权益信息总结给我，然后比较下去权益最好的平台订一个大床房。,1.0,Success,,"[{""rule"": ""1. 在高德查看酒店"", ""score"": 0.25, ""satisfied"": true, ""evidence"": ""步骤28: 在高德查看酒店信息""}, {""rule"": ""2. 在携程查看酒店"", ""score"": 0.5, ""satisfied"": true, ""evidence"": ""步骤28: 在携程查看酒店信息""}, {""rule"": ""3. 预订大床房"", ""..."
